Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor
квартира,37.38,4 543 000 руб,Проспект Просвещения,19.4 км,Выборгский район,15.51,2.75,5/5
квартира,33.84,4 269 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,3/5
квартира,33.85,4 270 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,4/5
квартира,33.85,4 270 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,5/5
квартира,33.85,4 270 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,4/5
квартира,33.84,4 269 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,3/5
квартира,33.85,4 270 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,5/5
квартира,33.85,4 270 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,4/5
квартира,33.84,4 269 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.10,2.75,3/5
Студия,27.87,3 654 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.81,2.75,4/26
Студия,28.91,3 625 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.12,2.75,5/5
Студия,27.66,3 627 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.81,2.75,4/26
Студия,30.90,3 874 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.82,2.75,3/5
Студия,27.95,3 665 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.96,2.75,4/22
Студия,30.90,3 874 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.82,2.75,3/5
Студия,30.90,3 874 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.82,2.75,4/5
Студия,27.83,3 649 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.53,2.75,4/16
Студия,30.90,3 874 000 руб,Проспект Просвещения,19.4 км,Выборгский район,16.97,2.75,4/5
Студия,26.99,3 508 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.85,2.75,14/22
Студия,26.93,3 526 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,12/26
Студия,26.98,3 533 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,12/22
Студия,26.93,3 526 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,10/26
Студия,26.72,3 504 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.37,2.75,15/22
Студия,26.98,3 538 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.52,2.75,15/16
Студия,26.98,3 538 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.52,2.75,15/16
Студия,27.37,3 557 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.50,2.75,5/5
Студия,27.52,3 603 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.82,2.75,8/26
Студия,27.51,3 576 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.81,2.75,5/26
Студия,27.46,3 595 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.53,2.75,7/16
Студия,27.52,3 603 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.82,2.75,7/26
Студия,27.50,3 574 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.17,2.75,5/22
Студия,27.50,3 601 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.17,2.75,6/22
Студия,26.78,3 512 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,17/22
Студия,26.99,3 539 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.02,2.75,13/26
Студия,26.78,3 512 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,19/26
Студия,26.74,3 506 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,20/26
Студия,26.78,3 512 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,22/26
Студия,27.21,3 563 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,10/16
Студия,27.21,3 563 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,12/16
Студия,27.21,3 568 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,13/16
Студия,27.21,3 537 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,14/16
Студия,26.74,3 506 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,22/26
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,12/26
Студия,27.61,3 589 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.50,2.75,3/5
Студия,26.98,3 533 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,9/22
Студия,26.78,3 512 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.45,2.75,21/26
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.85,2.75,10/22
Студия,26.71,3 502 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.49,2.75,25/26
Студия,26.72,3 504 000 руб,Проспект Просвещения,19.4 км,Выборгский район,15.20,2.75,20/22
Студия,26.72,3 504 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.50,2.75,24/26
Студия,27.37,3 557 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.50,2.75,4/5
Студия,26.78,3 512 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,20/26
Студия,26.78,3 512 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,23/26
Студия,26.74,3 506 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,23/26
Студия,27.23,3 565 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,11/16
Студия,27.23,3 565 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,12/16
Студия,26.76,3 509 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,17/22
Студия,26.76,3 509 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,18/22
Студия,27.59,3 586 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.17,2.75,5/22
Студия,26.93,3 531 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.02,2.75,13/26
Студия,27.59,3 612 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.17,2.75,7/22
Студия,27.59,3 612 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.17,2.75,6/22
Студия,26.98,3 533 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,10/22
Студия,26.98,3 533 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,11/22
Студия,26.98,3 533 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,8/26
Студия,27.46,3 595 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.53,2.75,6/16
Студия,27.59,3 618 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.53,2.75,4/16
Студия,26.93,3 500 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,14/26
Студия,26.98,3 507 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,14/22
Студия,26.76,3 509 000 руб,Проспект Просвещения,19.4 км,Выборгский район,15.26,2.75,20/22
Студия,27.00,3 540 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.72,2.75,15/26
Студия,27.07,3 550 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.98,2.75,16/26
Студия,26.98,3 507 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,14/22
Студия,26.76,3 509 000 руб,Проспект Просвещения,19.4 км,Выборгский район,15.26,2.75,20/22
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,11/26
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.85,2.75,9/22
Студия,26.98,3 538 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,13/22
Студия,26.76,3 509 000 руб,Проспект Просвещения,19.4 км,Выборгский район,15.26,2.75,21/22
Студия,26.94,3 533 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.71,2.75,15/26
Студия,26.71,3 502 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.49,2.75,24/26
Студия,27.46,3 569 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.53,2.75,5/16
Студия,27.46,3 569 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.53,2.75,5/16
Студия,27.46,3 595 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.53,2.75,7/16
Студия,27.50,3 601 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.87,2.75,7/22
Студия,27.63,3 623 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.87,2.75,4/22
Студия,26.76,3 509 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,16/22
Студия,26.78,3 512 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,18/22
Студия,27.21,3 563 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,9/16
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,10/26
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.85,2.75,8/22
Студия,27.02,3 543 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.99,2.75,16/26
Студия,26.70,3 501 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.45,2.75,15/22
Студия,27.51,3 602 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.81,2.75,6/26
Студия,26.72,3 504 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.50,2.75,25/26
Студия,26.98,3 533 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.75,2.75,8/22
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.85,2.75,11/22
Студия,26.99,3 534 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.85,2.75,12/22
Студия,26.72,3 504 000 руб,Проспект Просвещения,19.4 км,Выборгский район,15.20,2.75,21/22
Студия,26.99,3 508 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.70,2.75,14/26
Студия,27.23,3 571 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,13/16
Студия,27.23,3 539 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,14/16
Студия,26.74,3 506 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.00,2.75,21/26
Студия,27.21,3 563 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,11/16
Студия,27.23,3 571 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.60,2.75,13/16
Студия,25.71,3 342 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.40,2.75,3/5
Студия,25.61,3 329 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.40,2.75,4/5
Студия,25.61,3 329 000 руб,Проспект Просвещения,19.4 км,Выборгский район,14.40,2.75,5/5
Студия,24.77,3 219 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.90,2.75,4/5
Студия,24.63,3 201 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,5/5
Студия,24.63,3 201 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,5/5
Студия,24.63,3 201 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,4/5
Студия,24.91,3 238 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.90,2.75,3/5
Студия,24.74,3 216 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,3/5
Студия,24.63,3 201 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,4/5
Студия,24.74,3 216 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,3/5
Студия,24.77,3 219 000 руб,Проспект Просвещения,19.4 км,Выборгский район,13.90,2.75,5/5
Студия,24.74,3 216 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,3/5
Студия,24.63,3 201 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,4/5
Студия,24.74,3 216 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.00,2.75,3/5
Студия,22.71,2 952 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.20,2.75,3/5
Студия,22.71,2 952 000 руб,Проспект Просвещения,19.4 км,Выборгский район,12.20,2.75,4/5
квартира,39.40,6 635 000 руб,Лесная,111.2 км,Выборгский район,15.80,2.70,11/13
Студия,31.60,5 314 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,3/13
квартира,42.80,6 926 000 руб,Лесная,111.2 км,Выборгский район,17.00,2.70,2/13
квартира,44.50,10 393 000 руб,Выборгская,109.8 км,Выборгский район,18.40,2.90,9/9
квартира,44.40,9 812 000 руб,Выборгская,109.8 км,Выборгский район,18.40,2.90,9/9
квартира,39.40,7 052 000 руб,Лесная,111.2 км,Выборгский район,15.80,2.70,11/13
квартира,42.80,7 092 000 руб,Лесная,111.2 км,Выборгский район,17.00,2.70,3/13
квартира,37.80,6 802 000 руб,Лесная,111.2 км,Выборгский район,15.30,2.70,12/13
квартира,37.80,6 671 000 руб,Лесная,111.2 км,Выборгский район,15.30,2.70,12/13
Студия,31.60,5 748 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,13/13
Студия,31.60,5 728 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,13/13
Студия,31.60,5 551 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,13/13
Студия,31.60,5 590 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,10/13
Студия,31.60,5 682 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,12/13
Студия,31.60,5 702 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,12/13
Студия,31.60,5 636 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,11/13
Студия,31.60,5 505 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,12/13
Студия,31.60,5 463 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,10/13
Студия,31.60,5 417 000 руб,Лесная,111.2 км,Выборгский район,13.30,2.70,9/13
квартира,34.16,4 325 000 руб,Парнас,20 км,Выборгский район,14.13,2.70,16/24
Студия,27.33,3 200 000 руб,Парнас,1 км,Выборгский район,19.97,,11/24
квартира,40.10,5 200 000 руб,Проспект Просвещения,1.9 км,Выборгский район,24.85,2.75,9/26
Студия,23.60,2 300 000 руб,Проспект Просвещения,5.7 км,Выборгский район,16.60,,7/14
квартира,35.00,4 550 000 руб,Парнас,1.1 км,Выборгский район,14.00,,9/27
Студия,24.10,3 110 000 руб,Парнас,1.8 км,Выборгский район,16.60,,21/27
Студия,21.55,3 060 000 руб,Парнас,1.7 км,Выборгский район,13.60,,10/27
Студия,25.40,3 070 000 руб,Парнас,1.7 км,Выборгский район,17.30,,12/27
Студия,22.65,3 260 000 руб,Парнас,1.7 км,Выборгский район,14.40,,7/27
квартира,35.00,4 650 000 руб,Озерки,0.7 км,Выборгский район,17.00,,3/12
квартира,40.00,4 750 000 руб,Проспект Просвещения,1.9 км,Выборгский район,14.00,2.75,12/26
Студия,22.30,3 360 000 руб,Площадь Мужества,0.9 км,Выборгский район,11.30,,5/11
Студия,23.53,3 325 000 руб,Площадь Мужества,0.9 км,Выборгский район,12.67,,6/11
Студия,26.00,3 250 000 руб,Парнас,1.1 км,Выборгский район,18.50,,11/27
квартира,41.60,6 390 000 руб,Проспект Просвещения,1 км,Выборгский район,18.70,,21/21
квартира,41.90,6 100 000 руб,Лесная,1.9 км,Выборгский район,31.40,2.70,8/9
Студия,20.80,3 010 000 руб,Парнас,1.7 км,Выборгский район,13.25,,19/27
Студия,24.15,3 175 000 руб,Парнас,1.8 км,Выборгский район,16.70,,17/27
Студия,25.40,3 150 000 руб,Парнас,1.7 км,Выборгский район,17.30,,14/28
Студия,24.25,3 215 000 руб,Парнас,1.8 км,Выборгский район,16.60,,22/27
Студия,24.65,3 350 000 руб,Парнас,1.1 км,Выборгский район,18.50,,26/27
квартира,36.70,4 340 000 руб,Парнас,0.8 км,Выборгский район,14.04,,12/25
квартира,42.60,5 290 000 руб,Лесная,1.3 км,Выборгский район,28.10,,5/5
Студия,27.40,3 050 000 руб,Парнас,1.7 км,Выборгский район,17.30,,19/28
квартира,45.00,5 550 000 руб,Озерки,0.3 км,Выборгский район,27.00,,5/9
Студия,26.40,3 050 000 руб,Парнас,1.7 км,Выборгский район,12.80,2.60,8/28
квартира,36.30,4 100 000 руб,Проспект Просвещения,2.1 км,Выборгский район,19.10,,13/14
Студия,26.80,3 300 000 руб,Парнас,1.8 км,Выборгский район,14.85,,23/27
квартира,44.72,5 040 000 руб,Площадь Мужества,0.9 км,Выборгский район,11.92,2.75,2/11
квартира,41.50,7 150 000 руб,Озерки,0.9 км,Выборгский район,15.00,,8/16
Студия,24.50,2 200 000 руб,Озерки,5.9 км,Выборгский район,17.50,,11/14
квартира,40.35,4 100 000 руб,Парнас,2 км,Выборгский район,15.45,,8/25
квартира,31.10,3 650 000 руб,Лесная,0.4 км,Выборгский район,17.00,,2/5
квартира,35.70,4 800 000 руб,Озерки,1 км,Выборгский район,14.70,,6/25
Апартаменты-cтудия,22.30,3 360 000 руб,Площадь Мужества,0.9 км,Выборгский район,11.83,,5/11
Студия,23.00,3 300 000 руб,Парнас,1.4 км,Выборгский район,16.00,,14/24
Студия,24.00,3 500 000 руб,Парнас,1.1 км,Выборгский район,16.00,,14/26
квартира,34.30,3 920 000 руб,Проспект Просвещения,2.1 км,Выборгский район,17.80,,2/13
квартира,42.60,3 464 000 руб,Проспект Просвещения,5.9 км,Выборгский район,27.30,,1/5
квартира,42.00,6 100 000 руб,Проспект Просвещения,1 км,Выборгский район,18.00,,15/25
квартира,41.00,4 860 000 руб,Парнас,1.5 км,Выборгский район,15.50,,11/25
Студия,40.10,5 035 000 руб,Проспект Просвещения,1.9 км,Выборгский район,30.43,,11/22
квартира,32.40,4 100 000 руб,Озерки,0.4 км,Выборгский район,17.80,2.50,9/9
квартира,36.00,3 200 000 руб,Выборгская,0.7 км,Выборгский район,17.50,2.77,7/7
квартира,43.00,6 000 000 руб,Озерки,1.4 км,Выборгский район,17.00,2.70,12/16
Студия,28.00,2 900 000 руб,Парнас,1 км,Выборгский район,20.00,,20/24
квартира,40.00,3 145 000 руб,Парнас,0.8 км,Выборгский район,21.10,2.70,4/26
Студия,22.88,3 370 000 руб,Площадь Мужества,0.9 км,Выборгский район,11.83,,4/11
квартира,43.70,4 585 000 руб,Проспект Просвещения,1.5 км,Выборгский район,27.00,,4/9
квартира,36.70,4 650 000 руб,Парнас,0.8 км,Выборгский район,14.40,2.70,20/28
Студия,24.75,2 890 000 руб,Парнас,1.7 км,Выборгский район,12.80,,17/27
квартира,36.30,4 190 000 руб,Проспект Просвещения,1.9 км,Выборгский район,19.30,,20/25
квартира,60.25,10 820 000 руб,Лесная,0.6 км,Выборгский район,29.50,2.70,12/13
квартира,83.43,9 052 000 руб,Площадь Мужества,0.9 км,Выборгский район,42.38,2.70,7/11
квартира,59.29,6 847 000 руб,Площадь Мужества,0.9 км,Выборгский район,23.38,2.70,9/11
квартира,58.20,8 807 000 руб,Проспект Просвещения,1.9 км,Выборгский район,28.79,2.75,16/26
квартира,47.70,5 600 000 руб,Проспект Просвещения,0.7 км,Выборгский район,28.60,2.55,4/9
квартира,86.90,9 826 000 руб,Проспект Просвещения,1.8 км,Выборгский район,31.46,2.75,5/28
квартира,77.24,9 670 000 руб,Проспект Просвещения,1.8 км,Выборгский район,36.47,2.75,4/25
квартира,62.86,8 807 000 руб,Проспект Просвещения,1.8 км,Выборгский район,29.04,2.80,16/21
квартира,46.00,5 500 000 руб,Озерки,1.1 км,Выборгский район,28.50,2.50,2/9
квартира,68.00,10 500 000 руб,Озерки,0.2 км,Выборгский район,47.00,2.50,7/12
квартира,62.20,5 670 000 руб,Проспект Просвещения,5.4 км,Выборгский район,34.40,2.70,4/17
квартира,65.00,18 000 000 руб,Лесная,0.4 км,Выборгский район,47.00,3.00,3/6
квартира,93.15,11 246 000 руб,Проспект Просвещения,19.4 км,Выборгский район,60.00,2.75,24/27
квартира,91.17,11 007 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,4/27
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,18/27
квартира,90.94,10 980 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.09,2.75,14/27
квартира,91.36,11 030 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.96,2.75,4/24
квартира,91.17,11 051 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,10/27
квартира,91.17,11 051 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,9/27
квартира,91.56,11 055 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,16/27
квартира,91.56,11 055 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,15/27
квартира,93.15,11 246 000 руб,Проспект Просвещения,19.4 км,Выборгский район,60.00,2.75,25/27
квартира,93.51,11 290 000 руб,Проспект Просвещения,19.4 км,Выборгский район,60.08,2.75,3/27
квартира,90.78,10 960 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.96,2.75,19/24
квартира,90.94,10 980 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.09,2.75,5/27
квартира,90.94,11 023 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.09,2.75,6/27
квартира,90.94,11 023 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.09,2.75,7/27
квартира,90.78,10 960 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.96,2.75,18/24
квартира,90.78,10 960 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.96,2.75,20/24
квартира,90.82,10 965 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.81,2.75,15/27
квартира,91.17,11 051 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,12/27
квартира,93.15,11 246 000 руб,Проспект Просвещения,19.4 км,Выборгский район,60.00,2.75,22/27
квартира,93.85,11 331 000 руб,Проспект Просвещения,19.4 км,Выборгский район,49.52,2.75,3/27
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,17/27
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,21/27
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,23/27
квартира,91.00,10 987 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.96,2.75,15/24
квартира,90.82,10 965 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.81,2.75,16/27
квартира,91.16,11 006 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.91,2.75,4/27
квартира,93.70,11 313 000 руб,Проспект Просвещения,19.4 км,Выборгский район,49.51,2.75,3/24
квартира,90.94,10 980 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.09,2.75,13/27
квартира,91.00,10 987 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.96,2.75,16/24
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,20/27
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,19/27
квартира,90.78,10 960 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.96,2.75,21/24
квартира,90.94,11 023 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.09,2.75,8/27
квартира,90.78,10 960 000 руб,Проспект Просвещения,19.4 км,Выборгский район,49.00,2.75,24/27
квартира,91.17,11 051 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,11/27
квартира,93.15,11 246 000 руб,Проспект Просвещения,19.4 км,Выборгский район,60.00,2.75,23/27
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,22/27
квартира,91.33,11 027 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.35,2.75,24/27
квартира,86.04,10 429 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.66,2.75,15/16
квартира,86.45,10 479 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.66,2.75,14/16
квартира,90.59,10 937 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.81,2.75,19/27
квартира,86.45,10 520 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.66,2.75,10/16
квартира,86.45,10 520 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.66,2.75,11/16
квартира,90.78,10 960 000 руб,Проспект Просвещения,19.4 км,Выборгский район,49.00,2.75,22/27
квартира,84.90,10 382 000 руб,Проспект Просвещения,19.4 км,Выборгский район,49.21,2.75,13/30
квартира,90.59,10 937 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.81,2.75,20/27
квартира,86.89,10 532 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.24,2.75,3/22
квартира,90.59,10 937 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.81,2.75,21/27
квартира,85.51,10 365 000 руб,Проспект Просвещения,19.4 км,Выборгский район,46.36,2.75,5/16
квартира,86.45,10 520 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.66,2.75,8/16
квартира,90.59,10 937 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.81,2.75,18/27
квартира,85.17,10 596 000 руб,Проспект Просвещения,19.4 км,Выборгский район,32.50,2.75,2/24
квартира,82.49,10 500 000 руб,Проспект Просвещения,19.4 км,Выборгский район,31.50,2.75,8/27
квартира,85.50,10 364 000 руб,Проспект Просвещения,19.4 км,Выборгский район,46.36,2.75,4/16
квартира,86.45,10 520 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.66,2.75,12/16
квартира,90.59,10 937 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.81,2.75,17/27
квартира,86.45,10 520 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.66,2.75,9/16
квартира,90.78,10 960 000 руб,Проспект Просвещения,19.4 км,Выборгский район,49.00,2.75,23/27
квартира,85.51,10 406 000 руб,Проспект Просвещения,19.4 км,Выборгский район,46.36,2.75,7/16
квартира,85.51,10 406 000 руб,Проспект Просвещения,19.4 км,Выборгский район,46.36,2.75,6/16
квартира,87.45,10 600 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.61,2.75,3/16
квартира,88.31,10 704 000 руб,Проспект Просвещения,19.4 км,Выборгский район,48.30,2.75,3/16
квартира,82.65,10 018 000 руб,Проспект Просвещения,19.4 км,Выборгский район,47.27,2.75,21/22
квартира,82.87,10 045 000 руб,Проспект Просвещения,19.4 км,Выборгский район,47.27,2.75,18/22
квартира,83.12,10 075 000 руб,Проспект Просвещения,19.4 км,Выборгский район,47.27,2.75,14/22
квартира,82.32,10 242 000 руб,Проспект Просвещения,19.4 км,Выборгский район,30.36,2.75,18/27
квартира,82.59,10 275 000 руб,Проспект Просвещения,19.4 км,Выборгский район,30.39,2.75,3/27
квартира,80.01,9 890 000 руб,Проспект Просвещения,19.4 км,Выборгский район,43.01,2.75,5/26
квартира,82.65,10 018 000 руб,Проспект Просвещения,19.4 км,Выборгский район,47.27,2.75,20/22
квартира,83.59,10 132 000 руб,Проспект Просвещения,19.4 км,Выборгский район,47.27,2.75,4/22
квартира,84.42,10 233 000 руб,Проспект Просвещения,19.4 км,Выборгский район,46.36,2.75,15/16
