Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
0,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
1,квартира,112.5,12 900 000,Владимирская,1.1,Адмиралтейский район,73.0,3.6,4,6
2,квартира,135.6,26 929 000,Приморская,1,Василеостровский район,78.4,3.31,10,16
3,квартира,143.6,23 769 000,Приморская,1,Василеостровский район,76.3,3.0,4,10
4,квартира,163.0,24 400 000,Приморская,0.9,Василеостровский район,73.9,3.0,2,8
5,квартира,137.6,20 291 000,Приморская,1,Василеостровский район,68.0,3.0,5,12
6,квартира,146.4,21 589 000,Приморская,1,Василеостровский район,70.2,3.0,5,12
7,квартира,159.2,32 616 000,Приморская,1,Василеостровский район,77.8,3.31,10,16
8,квартира,125.1,31 744 000,Приморская,1,Василеостровский район,77.4,3.29,15,16
9,квартира,68.6,11 358 000,Приморская,1,Василеостровский район,19.2,3.0,4,10
10,квартира,149.8,23 022 000,Приморская,0.9,Василеостровский район,66.0,3.0,9,9
11,квартира,143.6,24 668 000,Приморская,1,Василеостровский район,76.0,3.0,9,12
12,квартира,144.0,21 264 000,Приморская,1,Василеостровский район,68.5,3.0,6,12
13,квартира,68.6,11 460 000,Приморская,1,Василеостровский район,21.4,3.0,5,10
14,квартира,135.3,35 333 000,Приморская,1,Василеостровский район,78.2,3.29,15,16
15,квартира,125.9,21 032 000,Приморская,1,Василеостровский район,77.9,3.29,8,16
16,квартира,156.1,23 364 000,Приморская,0.9,Василеостровский район,66.1,3.0,4,9
17,квартира,111.5,16 447 000,Приморская,0.9,Василеостровский район,43.7,3.0,3,9
18,квартира,65.3,10 909 000,Приморская,1,Василеостровский район,24.4,3.14,5,10
19,квартира,68.41,11 410 000,Василеостровская,1.6,Василеостровский район,31.02,2.7,2,10
20,квартира,43.0,4 230 000,Приморская,2.2,Василеостровский район,14.1,,5,19
21,квартира,72.0,9 100 000,Приморская,2.2,Василеостровский район,35.4,2.6,2,17
22,квартира,121.0,17 850 000,Приморская,0.9,Василеостровский район,54.7,3.14,2,8
23,квартира,129.9,19 289 000,Приморская,1,Василеостровский район,66.1,3.15,6,12
24,квартира,35.43,6 199 000,Приморская,2.4,Василеостровский район,17.2,,17,19
25,квартира,135.1,19 922 000,Приморская,1,Василеостровский район,69.4,3.0,7,12
26,квартира,143.5,23 753 000,Приморская,1,Василеостровский район,79.5,3.0,4,10
27,квартира,65.9,10 811 000,Приморская,1,Василеостровский район,20.0,,3,10
28,квартира,68.3,11 205 000,Приморская,1,Василеостровский район,21.7,3.0,3,10
29,квартира,138.5,20 998 000,Приморская,1,Василеостровский район,69.6,3.12,10,12
30,квартира,252.7,41 064 000,Приморская,1,Василеостровский район,136.0,,7,16
31,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
32,квартира,135.6,22 035 000,Приморская,1,Василеостровский район,78.4,3.3,7,16
33,квартира,155.6,24 870 000,Приморская,0.9,Василеостровский район,77.1,3.0,4,8
34,квартира,90.0,15 500 000,Приморская,0.4,Василеостровский район,44.0,2.76,6,17
35,квартира,89.7,15 500 000,Приморская,0.4,Василеостровский район,24.0,2.8,6,17
36,квартира,91.9,9 000 000,Балтийская,2,Адмиралтейский район,56.1,2.74,1,5
37,квартира,144.1,21 847 000,Приморская,1,Василеостровский район,68.2,3.0,10,12
38,квартира,91.1,25 200 000,Василеостровская,1.5,Василеостровский район,64.7,3.1,8,9
39,квартира,72.0,9 100 000,Приморская,2.2,Василеостровский район,35.5,,2,17
40,квартира,150.9,22 800 000,Приморская,0.9,Василеостровский район,66.8,3.0,7,9
41,квартира,103.92,12 800 000,Спортивная,1.1,Василеостровский район,61.9,3.1,3,6
42,квартира,108.0,10 250 000,Технологический институт,0.6,Адмиралтейский район,64.4,3.4,4,6
43,квартира,33.51,5 500 000,Приморская,2.4,Василеостровский район,14.03,,5,23
44,квартира,69.5,7 000 000,Пушкинская,0.6,Адмиралтейский район,44.1,2.7,5,5
45,квартира,50.0,7 250 000,Садовая,2.2,Адмиралтейский район,33.9,3.06,2,5
46,Студия,27.2,5 600 000,Василеостровская,1.8,Василеостровский район,18.0,,10,10
47,квартира,84.0,11 900 000,Садовая,0.4,Адмиралтейский район,33.0,3.1,1,5
48,квартира,111.0,11 900 000,Фрунзенская,0.6,Адмиралтейский район,72.2,4.0,1,2
49,квартира,84.9,9 500 000,Садовая,,Адмиралтейский район,42.0,3.31,4,4
50,квартира,67.0,7 200 000,Нарвская,,Адмиралтейский район,38.0,2.8,3,5
51,квартира,71.0,8 500 000,Приморская,0.8,Василеостровский район,47.5,2.65,8,9
52,квартира,155.7,23 304 000,Приморская,0.9,Василеостровский район,65.7,3.0,5,9
53,квартира,154.9,23 805 000,Приморская,0.9,Василеостровский район,65.6,3.0,8,9
54,квартира,68.8,11 391 000,Приморская,1,Василеостровский район,21.2,3.0,4,10
55,квартира,87.0,14 899 000,Приморская,1,Василеостровский район,37.9,3.33,1,16
56,квартира,66.8,10 959 000,Приморская,1,Василеостровский район,18.8,3.0,3,10
57,квартира,64.9,9 570 000,Приморская,0.9,Василеостровский район,22.6,3.0,2,8
58,квартира,126.6,19 974 000,Приморская,1,Василеостровский район,78.1,3.28,5,16
59,квартира,96.3,14 300 000,Приморская,1,Василеостровский район,49.0,3.0,9,12
60,квартира,135.1,21 176 000,Приморская,1,Василеостровский район,78.0,3.3,4,16
61,квартира,125.8,19 589 000,Приморская,1,Василеостровский район,77.9,3.32,3,16
62,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
63,квартира,96.5,14 230 000,Приморская,1,Василеостровский район,46.6,3.0,4,12
64,квартира,163.5,24 785 000,Приморская,0.9,Василеостровский район,73.4,3.0,5,8
65,квартира,126.2,19 911 000,Приморская,1,Василеостровский район,78.1,3.28,5,16
66,квартира,125.8,19 719 000,Приморская,1,Василеостровский район,77.9,3.3,4,16
67,квартира,65.5,11 255 000,Приморская,1,Василеостровский район,20.1,,9,10
68,квартира,65.8,10 992 000,Приморская,1,Василеостровский район,20.1,3.0,5,10
69,квартира,96.6,14 245 000,Приморская,1,Василеостровский район,46.4,3.0,5,12
70,квартира,126.2,25 063 000,Приморская,1,Василеостровский район,78.2,3.31,10,16
71,квартира,86.94,13 120 000,Приморская,2.5,Василеостровский район,45.03,,5,8
72,квартира,76.6,10 719 000,Фрунзенская,102.4,Адмиралтейский район,42.83,2.75,11,12
73,квартира,65.8,9 692 000,Фрунзенская,102.4,Адмиралтейский район,30.5,2.75,10,14
74,квартира,86.9,12 066 000,Фрунзенская,102.4,Адмиралтейский район,47.3,2.75,3,14
75,квартира,58.8,8 544 000,Фрунзенская,102.4,Адмиралтейский район,27.8,2.75,2,14
76,квартира,76.6,12 513 000,Приморская,106.3,Василеостровский район,39.4,2.75,6,10
77,квартира,59.9,8 704 000,Фрунзенская,102.4,Адмиралтейский район,28.4,2.75,2,14
78,квартира,43.9,7 953 000,Приморская,106.3,Василеостровский район,16.5,2.75,8,10
79,квартира,43.6,8 201 000,Приморская,106.3,Василеостровский район,13.7,2.75,8,10
80,квартира,72.8,9 369 000,Приморская,106.3,Василеостровский район,34.9,2.53,2,10
81,квартира,74.6,11 447 000,Приморская,106.3,Василеостровский район,30.5,2.75,2,10
82,квартира,103.28,23 740 000,Василеостровская,106,Василеостровский район,51.88,3.03,7,9
83,квартира,129.5,18 136 000,Василеостровская,106,Василеостровский район,71.64,2.7,7,11
84,квартира,135.4,15 817 000,Василеостровская,106,Василеостровский район,83.5,2.76,7,11
85,квартира,83.3,15 825 000,Василеостровская,106,Василеостровский район,52.7,2.76,6,11
86,квартира,128.3,17 147 000,Приморская,106.3,Василеостровский район,50.0,2.75,6,10
87,квартира,134.5,15 979 000,Василеостровская,106,Василеостровский район,83.5,2.76,8,11
88,квартира,85.7,12 726 000,Приморская,106.3,Василеостровский район,41.8,2.75,6,10
89,квартира,80.1,12 926 000,Приморская,106.3,Василеостровский район,33.6,2.75,8,10
90,квартира,86.5,14 815 000,Приморская,106.3,Василеостровский район,46.0,2.75,9,10
91,квартира,84.9,13 868 000,Приморская,106.3,Василеостровский район,45.1,2.75,8,10
92,квартира,86.9,13 095 000,Фрунзенская,102.4,Адмиралтейский район,47.3,2.75,7,14
93,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
94,квартира,70.5,12 075 000,Приморская,106.3,Василеостровский район,34.6,2.75,8,10
95,квартира,76.8,12 545 000,Приморская,106.3,Василеостровский район,39.4,2.75,8,10
96,квартира,86.4,12 090 000,Фрунзенская,102.4,Адмиралтейский район,47.3,2.75,4,14
97,квартира,72.5,11 125 000,Приморская,106.3,Василеостровский район,35.0,2.75,6,10
98,квартира,85.2,12 652 000,Приморская,106.3,Василеостровский район,45.3,2.75,4,10
99,квартира,80.2,12 704 000,Приморская,106.3,Василеостровский район,33.6,2.75,6,10
100,квартира,66.8,11 738 000,Приморская,106.3,Василеостровский район,30.3,2.75,8,10
101,квартира,70.6,11 742 000,Приморская,106.3,Василеостровский район,34.5,2.75,6,10
102,квартира,70.1,12 492 000,Приморская,106.3,Василеостровский район,35.8,2.75,6,10
103,квартира,69.8,11 609 000,Приморская,106.3,Василеостровский район,35.6,2.75,4,10
104,квартира,87.2,11 826 000,Фрунзенская,102.4,Адмиралтейский район,46.7,2.75,2,14
105,квартира,87.2,12 561 000,Василеостровская,106,Василеостровский район,52.7,2.76,11,11
106,квартира,64.3,10 822 000,Приморская,106.3,Василеостровский район,33.1,2.75,6,10
107,квартира,66.8,10 746 000,Приморская,106.3,Василеостровский район,30.3,2.75,4,10
108,квартира,72.2,10 722 000,Приморская,106.3,Василеостровский район,35.0,2.75,4,10
109,квартира,66.1,10 994 000,Приморская,106.3,Василеостровский район,30.0,2.75,6,10
110,квартира,61.2,10 906 000,Приморская,106.3,Василеостровский район,28.5,2.75,9,10
111,квартира,74.9,10 772 000,Фрунзенская,102.4,Адмиралтейский район,46.34,2.75,8,14
112,квартира,59.5,9 094 000,Фрунзенская,102.4,Адмиралтейский район,28.6,2.75,7,14
113,квартира,59.9,9 162 000,Фрунзенская,102.4,Адмиралтейский район,28.4,2.75,2,14
114,квартира,59.2,9 112 000,Фрунзенская,102.4,Адмиралтейский район,28.4,2.75,8,14
115,квартира,59.5,9 438 000,Фрунзенская,102.4,Адмиралтейский район,28.6,2.75,5,14
116,квартира,59.2,9 323 000,Фрунзенская,102.4,Адмиралтейский район,28.4,2.75,4,14
117,квартира,43.7,7 982 000,Приморская,106.3,Василеостровский район,16.5,2.75,6,10
118,квартира,35.37,7 550 000,Василеостровская,1.6,Василеостровский район,17.62,2.7,7,10
119,Студия,27.07,6 580 000,Василеостровская,1.6,Василеостровский район,19.04,,5,12
120,квартира,104.9,19 890 000,Василеостровская,1.6,Василеостровский район,47.11,2.5,10,10
121,квартира,84.56,14 320 000,Василеостровская,1.6,Василеостровский район,50.31,2.5,3,10
122,квартира,78.51,12 620 000,Василеостровская,1.6,Василеостровский район,45.18,2.5,2,10
123,квартира,53.09,10 310 000,Василеостровская,1.6,Василеостровский район,28.84,2.5,9,10
124,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
125,квартира,35.32,7 460 000,Василеостровская,1.6,Василеостровский район,17.62,2.5,8,10
126,Студия,24.18,5 410 000,Василеостровская,1.6,Василеостровский район,18.06,,3,10
127,квартира,36.0,4 165 000,Приморская,2.4,Василеостровский район,11.28,,8,15
128,квартира,165.8,50 000 000,Садовая,0.7,Адмиралтейский район,63.8,,4,5
129,квартира,79.2,9 000 000,Фрунзенская,,Адмиралтейский район,52.3,3.1,5,5
130,квартира,178.6,33 700 000,Адмиралтейская,1.6,Василеостровский район,104.0,3.0,5,5
131,квартира,109.0,16 450 000,Сенная площадь ,1.4,Адмиралтейский район,73.0,3.25,2,4
132,Студия,24.18,4 565 000,Василеостровская,1.6,Василеостровский район,18.06,,1,10
133,Студия,21.3,4 343 000,Звенигородская,0.6,Адмиралтейский район,18.0,,5,5
134,Студия,24.7,5 018 000,Звенигородская,0.6,Адмиралтейский район,21.0,,1,5
135,Студия,25.0,5 085 000,Звенигородская,0.6,Адмиралтейский район,20.5,,1,5
136,Студия,24.9,5 153 000,Звенигородская,0.6,Адмиралтейский район,21.5,,5,5
137,Студия,25.0,5 175 000,Звенигородская,0.6,Адмиралтейский район,21.5,,5,5
138,Студия,25.0,5 175 000,Звенигородская,0.6,Адмиралтейский район,21.5,,5,5
139,Студия,26.3,5 468 000,Звенигородская,0.6,Адмиралтейский район,22.9,,5,5
140,Студия,27.0,5 535 000,Звенигородская,0.6,Адмиралтейский район,23.2,,1,5
141,Студия,34.0,6 529 000,Звенигородская,0.6,Адмиралтейский район,30.7,,4,5
142,Студия,33.9,6 895 000,Звенигородская,0.6,Адмиралтейский район,28.8,,1,5
143,Студия,35.2,7 160 000,Звенигородская,0.6,Адмиралтейский район,31.8,,5,5
144,Студия,25.1,5 198 000,Звенигородская,0.6,Адмиралтейский район,21.4,,5,5
145,Студия,25.7,5 333 000,Звенигородская,0.6,Адмиралтейский район,21.7,,5,5
146,Студия,25.8,5 355 000,Звенигородская,0.6,Адмиралтейский район,22.4,,5,5
147,Студия,25.8,5 355 000,Звенигородская,0.6,Адмиралтейский район,22.4,,5,5
148,Студия,26.1,5 423 000,Звенигородская,0.6,Адмиралтейский район,22.7,,5,5
149,квартира,83.76,13 080 000,Василеостровская,1.6,Василеостровский район,45.03,2.7,5,8
150,квартира,36.29,7 760 000,Василеостровская,1.6,Василеостровский район,16.73,2.7,7,10
151,квартира,67.5,10 500 000,Василеостровская,0.1,Василеостровский район,35.0,3.2,6,6
152,квартира,82.0,11 949 000,Приморская,2.4,Василеостровский район,34.57,,9,20
153,квартира,58.7,9 050 000,Фрунзенская,1.2,Адмиралтейский район,26.44,,7,12
154,квартира,60.0,7 850 000,Приморская,2.4,Василеостровский район,38.0,,1,18
155,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
156,квартира,101.7,18 500 000,Приморская,1.1,Василеостровский район,37.6,2.8,11,19
157,квартира,79.0,9 800 000,Приморская,1.4,Василеостровский район,48.0,2.65,5,9
158,квартира,73.35,12 200 000,Василеостровская,1.5,Василеостровский район,17.23,,4,8
159,Студия,26.0,4 650 000,Василеостровская,2,Василеостровский район,18.0,,7,12
160,квартира,59.91,8 950 000,Фрунзенская,1.2,Адмиралтейский район,26.44,,6,14
161,Студия,24.84,4 200 000,Приморская,2.4,Василеостровский район,16.16,,6,6
162,квартира,515.0,90 000 000,Адмиралтейская,0.7,Адмиралтейский район,195.0,7.0,5,5
163,квартира,95.0,17 900 000,Фрунзенская,,Адмиралтейский район,70.0,2.8,9,9
164,квартира,80.0,8 000 000,Технологический институт,,Адмиралтейский район,48.0,,6,6
165,квартира,85.0,9 350 000,Технологический институт,,Адмиралтейский район,52.0,3.1,3,3
166,квартира,115.5,12 200 000,Василеостровская,0.1,Василеостровский район,79.6,,5,5
167,квартира,63.26,7 899 000,Приморская,2.4,Василеостровский район,42.41,,6,16
168,квартира,71.7,13 250 000,Василеостровская,1.8,Василеостровский район,32.33,,4,10
169,квартира,135.4,26 396 000,Приморская,1,Василеостровский район,78.2,3.28,9,16
170,квартира,126.3,24 689 000,Приморская,1,Василеостровский район,78.3,3.28,9,16
171,квартира,137.4,33 350 000,Приморская,1,Василеостровский район,77.8,3.32,14,16
172,квартира,144.5,21 310 000,Приморская,1,Василеостровский район,68.7,3.0,5,12
173,квартира,135.0,20 017 000,Приморская,1,Василеостровский район,69.7,3.0,8,12
174,квартира,154.6,23 139 000,Приморская,0.9,Василеостровский район,65.2,3.15,4,9
175,квартира,160.5,27 059 000,Приморская,1,Василеостровский район,65.3,3.0,6,10
176,квартира,126.1,30 216 000,Приморская,1,Василеостровский район,78.0,3.3,13,16
177,квартира,134.8,29 745 000,Приморская,1,Василеостровский район,78.1,3.31,12,16
178,квартира,125.7,27 737 000,Приморская,1,Василеостровский район,78.0,3.31,12,16
179,квартира,142.5,21 013 000,Приморская,1,Василеостровский район,69.7,3.0,6,12
180,квартира,144.4,21 293 000,Приморская,1,Василеостровский район,68.4,3.0,7,12
181,квартира,158.1,24 455 000,Приморская,1,Василеостровский район,77.0,3.28,2,16
182,квартира,135.0,21 021 000,Приморская,1,Василеостровский район,77.8,3.32,3,16
183,квартира,75.67,10 393 000,Фрунзенская,0.4,Адмиралтейский район,42.83,2.75,11,12
184,квартира,55.0,6 450 000,Крестовский остров,2.2,Василеостровский район,38.1,2.8,2,5
185,квартира,126.3,20 057 000,Приморская,1,Василеостровский район,78.3,,6,16
186,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
187,квартира,141.8,21 056 000,Приморская,1,Василеостровский район,69.4,3.0,9,12
188,квартира,146.0,22 135 000,Приморская,1,Василеостровский район,69.6,3.0,10,12
189,квартира,125.7,19 703 000,Приморская,1,Василеостровский район,77.7,3.3,4,16
190,квартира,143.9,21 220 000,Приморская,1,Василеостровский район,68.6,3.0,4,12
191,квартира,126.1,20 491 000,Приморская,1,Василеостровский район,78.1,3.3,7,16
192,квартира,158.7,24 875 000,Приморская,1,Василеостровский район,80.3,3.3,4,16
193,квартира,158.2,24 960 000,Приморская,1,Василеостровский район,77.3,3.28,5,16
194,квартира,134.5,21 221 000,Приморская,1,Василеостровский район,77.7,3.28,5,16
195,квартира,146.1,21 544 000,Приморская,1,Василеостровский район,70.1,3.1,4,12
196,квартира,143.7,24 227 000,Приморская,1,Василеостровский район,79.3,3.0,6,10
197,квартира,126.2,26 063 000,Приморская,1,Василеостровский район,78.1,3.31,10,16
198,квартира,160.2,26 755 000,Приморская,1,Василеостровский район,65.5,3.0,5,10
199,квартира,163.1,24 910 000,Приморская,0.9,Василеостровский район,74.1,3.0,8,8
200,квартира,68.9,11 755 000,Приморская,1,Василеостровский район,21.4,3.15,8,10
201,квартира,65.5,10 746 000,Приморская,1,Василеостровский район,24.6,3.1,3,10
202,квартира,252.7,39 870 000,Приморская,0.9,Василеостровский район,136.0,3.3,5,16
203,Студия,16.0,2 800 000,Пушкинская,0.5,Адмиралтейский район,15.0,,2,5
204,квартира,90.1,9 600 000,Василеостровская,0.8,Василеостровский район,56.8,2.91,5,5
205,квартира,135.2,20 913 000,Приморская,1,Василеостровский район,78.6,3.28,2,16
206,квартира,61.2,9 027 000,Приморская,0.9,Василеостровский район,23.5,3.0,3,9
207,квартира,130.0,19 126 000,Приморская,1,Василеостровский район,66.0,3.0,7,12
208,квартира,117.0,14 000 000,Балтийская,2.2,Адмиралтейский район,69.0,4.0,3,4
209,квартира,50.0,5 650 000,Василеостровская,4.2,Василеостровский район,12.0,2.7,17,19
210,квартира,100.0,11 250 000,Василеостровская,4.2,Василеостровский район,42.0,2.7,17,19
211,квартира,158.6,35 996 000,Приморская,0.9,Василеостровский район,77.5,,12,14
212,квартира,155.2,23 851 000,Приморская,0.9,Василеостровский район,65.3,,9,14
213,квартира,67.8,11 433 000,Приморская,1.1,Василеостровский район,18.5,,6,10
214,квартира,57.0,6 095 000,Балтийская,,Адмиралтейский район,39.5,3.2,5,6
215,квартира,135.2,20 076 000,Приморская,0.9,Василеостровский район,69.6,,9,10
216,квартира,174.8,25 780 000,Приморская,0.9,Василеостровский район,95.9,3.0,2,8
217,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
218,квартира,143.7,24 800 000,Приморская,1,Василеостровский район,76.2,3.0,8,9
219,квартира,181.9,26 830 000,Приморская,0.9,Василеостровский район,87.9,,3,10
220,квартира,161.5,27 743 000,Приморская,1,Василеостровский район,65.8,3.0,9,10
221,квартира,161.4,27 530 000,Приморская,1,Василеостровский район,65.6,3.0,8,10
222,квартира,284.8,61 499 000,Приморская,1,Василеостровский район,118.7,3.15,11,16
223,квартира,284.8,72 268 000,Приморская,1,Василеостровский район,127.6,3.15,15,16
224,квартира,284.8,65 985 000,Приморская,1,Василеостровский район,150.6,3.15,13,16
225,квартира,136.7,20 158 000,Приморская,1,Василеостровский район,67.8,3.0,4,12
226,квартира,137.6,20 861 000,Приморская,1,Василеостровский район,68.5,3.0,8,12
227,квартира,125.2,16 902 000,Приморская,1.4,Василеостровский район,46.5,,2,10
228,квартира,85.7,12 855 000,Приморская,1.4,Василеостровский район,41.8,,6,10
229,квартира,84.9,14 008 000,Приморская,1.4,Василеостровский район,45.3,,8,10
230,квартира,80.1,13 056 000,Приморская,1.4,Василеостровский район,33.6,,8,10
231,квартира,156.2,23 379 000,Приморская,0.9,Василеостровский район,66.0,3.0,5,9
232,квартира,74.6,11 563 000,Приморская,1.4,Василеостровский район,30.5,,2,10
233,квартира,72.2,10 830 000,Приморская,1.4,Василеостровский район,35.0,,4,10
234,квартира,72.5,11 237 000,Приморская,1.4,Василеостровский район,34.8,,6,10
235,квартира,70.5,12 196 000,Приморская,1.4,Василеостровский район,34.6,,8,10
236,квартира,64.3,10 931 000,Приморская,1.4,Василеостровский район,33.1,,6,10
237,квартира,61.2,11 016 000,Приморская,1.4,Василеостровский район,28.5,,9,10
238,квартира,43.7,8 062 000,Приморская,1.4,Василеостровский район,16.5,,6,10
239,квартира,43.6,8 284 000,Приморская,1.4,Василеостровский район,13.8,,8,10
240,квартира,40.0,7 600 000,Приморская,1.4,Василеостровский район,16.5,,8,10
241,квартира,70.1,12 618 000,Приморская,1.4,Василеостровский район,35.8,,6,10
242,квартира,61.2,7 200 000,Василеостровская,0.8,Василеостровский район,37.3,,4,7
243,квартира,154.8,23 789 000,Приморская,0.9,Василеостровский район,65.4,,7,9
244,квартира,79.5,11 000 000,Технологический институт,,Адмиралтейский район,49.7,2.77,1,5
245,квартира,74.3,12 600 000,Василеостровская,1.5,Василеостровский район,17.6,,8,9
246,квартира,135.2,22 586 000,Приморская,1,Василеостровский район,78.1,,8,16
247,квартира,52.31,9 650 000,Московские ворота,1.3,Адмиралтейский район,25.11,,2,16
248,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
249,квартира,126.2,26 062 000,Приморская,1,Василеостровский район,78.1,,10,15
250,квартира,67.8,11 433 000,Приморская,1.1,Василеостровский район,18.5,,6,11
251,квартира,154.9,23 851 000,Приморская,0.9,Василеостровский район,65.6,,8,9
252,квартира,125.4,19 011 000,Приморская,1,Василеостровский район,66.2,,11,11
253,квартира,143.1,23 899 000,Приморская,1.1,Василеостровский район,79.3,,5,10
254,квартира,121.0,17 850 000,Приморская,0.9,Василеостровский район,54.7,,2,9
255,квартира,97.0,29 999 000,Адмиралтейская,0.9,Адмиралтейский район,66.0,2.9,3,6
256,квартира,50.0,5 600 000,Василеостровская,4.2,Василеостровский район,12.0,2.7,17,19
257,квартира,130.0,19 125 000,Приморская,0.9,Василеостровский район,66.0,,7,10
258,квартира,123.0,18 390 000,Приморская,0.9,Василеостровский район,56.1,,3,10
259,квартира,33.1,5 900 000,Технологический институт,,Адмиралтейский район,16.0,2.6,2,6
260,квартира,155.6,24 870 000,Приморская,0.9,Василеостровский район,77.1,,4,10
261,квартира,129.2,19 185 000,Приморская,0.9,Василеостровский район,66.0,,9,10
262,квартира,252.7,50 185 000,Приморская,1,Василеостровский район,145.1,3.1,10,16
263,квартира,284.8,69 127 000,Приморская,1,Василеостровский район,118.7,3.15,14,16
264,квартира,143.9,24 357 000,Приморская,1,Василеостровский район,76.4,3.0,7,10
265,квартира,175.0,29 850 000,Приморская,1,Василеостровский район,85.0,3.1,8,10
266,квартира,143.1,23 900 000,Приморская,1,Василеостровский район,79.3,,5,10
267,квартира,143.7,24 000 000,Приморская,0.9,Василеостровский район,76.1,,5,10
268,квартира,40.0,7 500 000,Приморская,,Василеостровский район,16.5,2.75,9,10
269,квартира,125.9,31 558 000,Приморская,1,Василеостровский район,77.9,3.32,14,16
270,квартира,163.2,24 910 000,Приморская,0.9,Василеостровский район,73.2,3.0,7,9
271,квартира,162.8,24 680 000,Приморская,0.9,Василеостровский район,73.2,3.0,6,8
272,квартира,125.8,29 146 000,Приморская,1,Василеостровский район,78.0,3.3,13,16
273,квартира,66.1,11 000 000,Приморская,,Василеостровский район,30.0,2.75,5,10
274,квартира,134.4,20 780 000,Приморская,1,Василеостровский район,68.9,3.33,1,16
275,квартира,86.5,14 900 000,Приморская,,Василеостровский район,46.0,2.75,7,10
276,квартира,149.8,23 021 000,Приморская,0.9,Василеостровский район,66.0,,9,10
277,квартира,126.2,25 062 000,Приморская,0.9,Василеостровский район,78.2,,10,16
278,квартира,158.4,34 205 000,Приморская,1,Василеостровский район,77.8,3.29,11,16
279,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
280,квартира,111.0,16 373 000,Приморская,0.9,Василеостровский район,45.9,3.0,3,9
281,квартира,141.2,21 407 000,Приморская,1,Василеостровский район,68.2,3.1,11,12
282,квартира,140.4,21 286 000,Приморская,1,Василеостровский район,67.9,3.1,11,12
283,квартира,67.8,11 433 000,Приморская,1,Василеостровский район,18.5,3.1,6,10
284,квартира,136.8,20 740 000,Приморская,1,Василеостровский район,68.0,3.0,7,12
285,квартира,68.6,11 358 000,Приморская,1,Василеостровский район,19.2,3.0,4,10
286,квартира,62.8,9 260 000,Приморская,0.9,Василеостровский район,23.2,3.1,3,9
287,квартира,74.3,16 500 000,Фрунзенская,0.2,Адмиралтейский район,30.4,,3,19
288,квартира,74.6,12 123 000,Василеостровская,1.5,Василеостровский район,33.6,2.75,2,10
289,квартира,92.2,16 000 000,Василеостровская,0.6,Василеостровский район,61.1,3.4,2,4
290,квартира,66.8,11 060 000,Приморская,1,Василеостровский район,21.1,3.0,4,10
291,квартира,252.7,42 215 000,Приморская,1,Василеостровский район,145.1,3.1,8,16
292,квартира,99.6,14 670 000,Приморская,1,Василеостровский район,49.0,3.0,5,12
293,квартира,155.2,23 851 000,Приморская,0.9,Василеостровский район,65.3,3.0,9,9
294,квартира,135.2,21 471 000,Приморская,1,Василеостровский район,78.2,3.27,6,16
295,квартира,135.9,20 604 000,Приморская,1,Василеостровский район,67.5,3.0,6,12
296,квартира,36.9,7 450 000,Василеостровская,1.6,Василеостровский район,17.62,2.7,8,10
297,квартира,252.7,40 131 000,Приморская,1,Василеостровский район,145.1,3.33,6,16
298,Студия,24.5,3 000 000,Приморская,2.4,Василеостровский район,14.5,2.65,15,15
299,квартира,61.2,11 475 000,Приморская,1.4,Василеостровский район,33.1,2.75,9,10
300,квартира,41.3,8 260 000,Приморская,1.4,Василеостровский район,13.7,2.75,9,10
301,квартира,43.6,8 611 000,Приморская,1.4,Василеостровский район,13.7,2.75,8,10
302,квартира,76.6,13 214 000,Приморская,1.4,Василеостровский район,40.6,,6,10
303,квартира,84.9,14 646 000,Василеостровская,1.5,Василеостровский район,45.0,2.7,8,10
304,квартира,66.8,12 358 000,Василеостровская,1.5,Василеостровский район,30.2,2.7,8,10
305,квартира,43.7,8 391 000,Василеостровская,1.5,Василеостровский район,16.5,2.7,6,10
306,квартира,70.1,13 144 000,Василеостровская,1.5,Василеостровский район,35.7,2.7,6,10
307,квартира,69.8,12 250 000,Василеостровская,1.5,Василеостровский район,35.7,2.7,4,10
308,квартира,72.5,11 782 000,Приморская,1.4,Василеостровский район,35.2,2.75,6,10
309,квартира,64.3,11 414 000,Приморская,1.4,Василеостровский район,33.1,2.75,6,10
310,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
311,квартира,80.2,13 434 000,Приморская,1.4,Василеостровский район,33.6,2.75,6,10
