Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
5905,квартира,42.7,5 338 000,Беговая,11.3,Приморский район,22.9,2.8,3,25
5906,квартира,49.56,5 237 000,Проспект Просвещения,19.4,Приморский район,16.65,2.7,4,9
5907,квартира,43.2,5 338 000,Беговая,11.3,Приморский район,23.1,2.8,3,25
5908,квартира,36.5,5 081 000,Беговая,11.3,Приморский район,14.4,2.8,19,25
5909,квартира,40.91,5 168 000,Комендантский  проспект,14.4,Приморский район,13.92,2.75,11,24
5910,квартира,40.91,5 168 000,Комендантский  проспект,14.4,Приморский район,13.92,2.75,21,24
5911,квартира,41.34,5 116 000,Комендантский  проспект,14.4,Приморский район,19.3,2.77,19,19
5912,квартира,40.3,5 091 000,Комендантский  проспект,14.4,Приморский район,13.71,2.75,2,24
5913,квартира,33.3,5 082 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,6,19
5914,квартира,33.2,5 067 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,7,19
5915,квартира,41.8,5 177 000,Беговая,11.3,Приморский район,22.9,2.8,3,25
5916,квартира,41.7,5 177 000,Беговая,11.3,Приморский район,22.7,2.8,3,25
5917,квартира,33.5,5 135 000,Комендантский  проспект,14.4,Приморский район,17.1,2.7,2,19
5918,Студия,30.0,5 157 000,Пионерская,16.5,Приморский район,18.44,,14,19
5919,квартира,41.8,5 177 000,Беговая,11.3,Приморский район,22.8,2.8,3,25
5920,квартира,32.7,5 088 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,13,19
5921,квартира,41.8,5 177 000,Беговая,11.3,Приморский район,22.8,2.8,3,25
5922,квартира,37.3,4 876 000,Беговая,11.3,Приморский район,14.4,2.8,7,25
5923,Студия,28.1,4 881 000,Пионерская,16.5,Приморский район,18.44,,15,19
5924,Студия,28.6,4 914 000,Пионерская,16.5,Приморский район,18.44,,13,19
5925,квартира,33.4,5 040 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,18,19
5926,квартира,33.4,5 046 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,10,19
5927,квартира,33.5,5 055 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,17,19
5928,квартира,39.85,4 931 000,Комендантский  проспект,14.4,Приморский район,18.12,2.77,18,19
5929,квартира,37.2,4 961 000,Беговая,11.3,Приморский район,14.4,2.8,16,25
5930,квартира,33.1,5 052 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,9,19
5931,квартира,37.3,4 893 000,Беговая,11.3,Приморский район,14.4,2.8,9,25
5932,квартира,39.85,4 931 000,Комендантский  проспект,14.4,Приморский район,18.12,2.77,19,19
5933,квартира,39.85,4 931 000,Комендантский  проспект,14.4,Приморский район,18.12,2.77,18,19
5934,квартира,33.5,5 055 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,17,19
5935,квартира,39.85,4 931 000,Комендантский  проспект,14.4,Приморский район,18.12,2.77,18,19
5936,квартира,37.58,4 881 000,Комендантский  проспект,14.4,Приморский район,15.68,2.75,2,24
5937,квартира,33.4,5 040 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,18,19
5938,квартира,33.1,5 001 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,10,19
5939,квартира,33.3,5 031 000,Комендантский  проспект,14.4,Приморский район,15.0,2.7,10,19
5940,квартира,36.3,4 850 000,Беговая,11.3,Приморский район,14.4,2.8,17,25
5941,квартира,37.4,4 739 000,Проспект Просвещения,19.4,Приморский район,12.9,2.7,23,25
5942,квартира,37.2,4 789 000,Беговая,11.3,Приморский район,14.4,2.8,3,25
5943,квартира,37.4,4 702 000,Проспект Просвещения,19.4,Приморский район,12.9,2.7,25,25
5944,квартира,37.19,4 831 000,Комендантский  проспект,14.4,Приморский район,15.68,2.75,22,24
5945,квартира,37.3,4 693 000,Проспект Просвещения,19.4,Приморский район,12.0,2.7,21,25
5946,квартира,41.2,4 699 000,Проспект Просвещения,19.4,Приморский район,14.33,2.7,9,9
5947,квартира,37.3,4 868 000,Беговая,11.3,Приморский район,14.4,2.8,6,25
5948,квартира,37.4,4 754 000,Проспект Просвещения,19.4,Приморский район,12.9,2.7,22,25
5949,квартира,36.5,4 833 000,Беговая,11.3,Приморский район,14.4,2.8,15,25
5950,квартира,38.8,4 705 000,Проспект Просвещения,19.4,Приморский район,15.2,2.7,12,12
